Grapheme	IPA
-$	NULL
^-	NULL
$	NULL
*po-/*pu- 	p o
-	+
-(h)erẽka 	e r ẽ k a
-(h)iwãka 	i w ã k a
-(h)ãkɨ-pa 	ã k ɨ + p a
-eta[ma] 	e t a
-ro ~ -lo 	
-rɨ ~ -lɨ 	
-çema / -çem-lɨ 	
-ʧa[hi]	
O	O/o
O$	O/o
V$	V/ə
^[hi]tpo 	h i t p o
[	NULL
]	NULL
^ɨ̃ɨ̃wɨ	ɨ̃ɨ̃/ɨ̃ w ɨ
^	NULL
^*	NULL
^a	a
^a$	a
^e	e
^h	h
^i	i
^j	j
^k	k
^ks	k s
^kʃ	k ʃ
^m	m
^n	n
^o	o
^p	p
^r	r
^s	s
^t	t
^ts	ts
^u	u
^w	w
^ã	ã
^ã$	ã
^ç	ç
^ú	ú/u
^ĩĩ$	ĩː
^ɨ	ɨ
^ɲ	ɲ
^ʃ	ʃ
^ʃw	ʃ w
^ʧ	tʃ
_	+
a	a
a$	a
aa	aː
c	c/tʃ
e	e
e$	e
h	h
hw	hw/hʷ
i	i
i$	i
ii	iː
ii$	iː
j	j
k	k
ka-mʃi-ro / mɨʃi-w-lɨ 	<???>
l	l
lh	lh/l̥
m	m
mh	mh/m̥
n	n
nh	nh/n̥
nn	n n
o	o
o$	o
p	p
pʃ	p ʃ
r	r
s	s
t	t
th	tʰ
ts	ts
tsh	tsʰ
u	u
u$	u
w	w
wh	wh/w̥
á	á/a
á$	á/a
áá	áá/aː
ã	ã
ã$	ã
ãã	ãː
ã́$	ã́/ã
ç	ç
é	é/e
í	í/i
í$	í/i
íí$	íí/iː
ó	ó/o
ú	ú/u
ú$	ú/u
ĩ	ĩ
ĩ́$	ĩ́/ĩ
ɨ	ɨ
ɨ$	ɨ
ɨɨ	ɨː
ɨ́	ɨ́/ɨ
ɨ́$	ɨ́/ɨ
ɨ̃	ɨ̃/ɨ̃
ɲ	ɲ
ʃ	ʃ
ʔ	ʔ
ʧ	tʃ
ṹ	ṹ
ẽ	ẽ
