NUMBER	ENGLISH
1	body
2	head
3	eye
4	earhole
5	hair/feather
6	mouth
7	lip
8	beard
9	tongue
10	nose
11	bone
12	back
13	breast
14	breast
15	chest
16	heart
17	liver
18	blood
19	flesh
20	Veins
21	buttocks
22	leg
23	thigh
24	knee
25	shin
26	foot
27	arm
28	elbow
29	hand
30	neck
31	skin
32	navel
33	tail
34	wing
35	egg
36	feces
37	fart
38	urine
39	fat
40	name
41	house
42	village
43	nest
44	path
45	path2
46	bow
47	arrow
48	rope
49	canoe
50	raft
51	person
52	spirit/soul
53	man
54	woman
55	father
56	father2
57	mother
58	mother2
59	son
60	daughter
61	grandson
62	granddaughter
63	father-in-law
64	mother-in-law
65	nephew/niece
66	younger brother
67	younger sister
68	grandmother
69	grandfather
70	pet
71	paca (rodent sp.)
72	capybara
73	rat
74	agouti
75	coati
76	peccary (sp.)1
77	peccary (sp.)2
78	anteater
79	tapir
80	Capuchin monkey
81	howler monkey>
82	sloth
83	snake
84	boa
85	alligator
86	turtle
87	ant
88	isula (ant sp.)
89	termite
90	wasp
91	mosquito
92	bee/honey
93	fly
94	butterfly
95	cockroach
96	spider
97	scorpion
98	tick
99	louse
100	worm1
101	worm2
102	fish (generic)
103	piraña (fish sp.)
104	crab
105	bat
106	bird (sp.)1
107	bird (sp.)2
108	bird (sp.)3
109	hummingbird
110	duck
111	eagle
112	owl
113	tree
114	palm (sp.)
115	cane
116	branch
117	wood, stick
118	seed
119	shell/husk
120	flower
121	Leaf
122	Coca
123	sweet potato
124	bitter manioc
125	manioc
126	maize
127	smoked (meat)
128	pepper
129	achiote
130	medicine
131	sun
132	moon
133	night
134	yesterday
135	wind
136	rainbow
137	lake
138	water
139	rain
140	fire/firewood
141	fire/firewood2
142	hole
143	stone
144	pain
145	to be/have
146	to arrive
147	to come
148	to return
149	to walk
150	to pass
151	to step
152	to grow
153	to sing
154	to eat
155	to swallow
156	to say
157	to speak
158	to command
159	to call
160	to breathe
161	to wash1
162	to wash2
163	to swim
164	to bath
165	to plant/put
166	to dig
167	to peel
168	to hear
169	to see
170	to learn
171	to fear
172	to sleep
173	to lie down
174	to die
175	to kill
176	to cook
177	to roast
178	to grind
179	to fetch
180	to sew
181	pregnant
182	hungry
183	shy
184	hot
185	cold
186	wet
187	dry
188	new
189	heavy
190	above
191	below
192	core/middle
193	two
194	three
195	cl.liquid
196	cl.cylindrical
197	gender.masc
198	gender.fem
199	progressive
200	iterative
201	intensive
202	intensifier
203	caus/verblzr
204	adjectivizer
205	verbalizer
206	absolute
