Number	Concept	Proto-Purus	Yine-Value	Yine-Form	Yine-Concept	Yine-Source	Apurina-Value	Apurina-Form	Apurina-Concept	Apurina-Source	Inapari-Value	Inapari-Form	Inapari-Concept	Inapari-Source
1	body	*-mane	-mane (N86:143)	-mane 		N86:143	-mane (F00:264)	-mane 		F00:264	maná-ʔa-ti (P95:38)	maná-ʔa-ti 		P95:38
2	head	*-kɨwɨ	-çiwɨ (N86:46)	-çiwɨ 		N86:46	-kɨwɨ (F00:649)	-kɨwɨ 		F00:649	hɨwɨ́-ti (P95:32)	hɨwɨ́-ti 		P95:32
3	eye	*-hokɨ	hi-hoçi ‘face’ (N86:46)	hi-hoçi	face	N86:46	-okɨ (F00:648)	-okɨ 		F00:648	ohɨ-tí (P95:55)	ohɨ-tí 		P95:55
4	earhole	*-kena-ko	-çnako-pna (N86:47)	-çnako-pna 		N86:47	-kenako-kɨ (Fe13:82)	-kenako-kɨ 		Fe13:82	hanáʔo-ti (P95:55)	hanáʔo-ti 		P95:55
5	hair/feather	*-piti	-pici (N86:56)	-pici 		N86:56	-piti (F00:648)	-piti 		F00:648	piʧi-tí (P95:58)	piʧi-tí 		P95:58
6	mouth	*-nama	-nama (N86:53)	-nama 		N86:53	-nama (F00:651)	-nama 		F00:651	namá-ti (P95:31)	namá-ti 		P95:31
7	lip	*-potu	hi-ʃa-pto ‘beard’ (N86:63)	hi-ʃa-pto 	beard	N86:63	-poto (F00:651)	-poto 		F00:651	potu-maʧá-ti (P95:49)	potu-maʧá-ti 		P95:49
8	beard	*-sia-potu	hi-ʃa-pto ‘beard’ (N86:63)	hi-ʃa-pto 	beard	N86:63	ʃiãpoto (Fr17:344)	ʃiãpoto 		Fr17:344	ijapotú-ti (P95:31)	ijapotú-ti 		P95:31
9	tongue	*-nenɨ	hi-nnɨ (N86:486)	hi-nnɨ 		N86:486	-nɨnɨ (F00:656)	-nɨnɨ 		F00:656	není-pa-ti (P95:49)	není-pa-ti 		P95:49
10	nose	*-kiri	hi-çri (N86:47)	hi-çri 		N86:47	-kiri (F00:652)	-kiri 		F00:652	hirí-ti (P95:54)	hirí-ti 		P95:54
11	bone	*-hapɨ	hi-hapɨ (N86:45)	hi-hapɨ 		N86:45	-apɨ (F00:646)	-apɨ 		F00:646	apɨ-tí (P95:47)	apɨ-tí 		P95:47
12	back	*-takɨ	hi-tçi (N86:66)	hi-tçi 		N86:66	–				ʧahɨ́-ti (P95:42)	ʧahɨ́-ti 		P95:42
13	breast	*-tenɨ	tnɨ-ʧi (N86:567)	tnɨ-ʧi 		N86:567	-tenɨ (F00:646)	-tenɨ 		F00:646	-ʧini (P95:65)	-ʧini 		P95:65
14	breast	*-tenɨ-kɨ	–				-tenɨ-kɨ (F00:172)	-tenɨ-kɨ 		F00:172	ʧiní-hɨ-ti (P95:65)	ʧiní-hɨ-ti 		P95:65
15	chest	*-turu-	–				-toro-ta (Fr17:345)	-toro-ta 		Fr17:345	turú-ʧa-ti (P95:58)	turú-ʧa-ti 		P95:58
16	heart	*-hakɨ	-haç-ʧi, r-açi (N86:403)	-haç-ʧi / r-açi 		N86:403	-(h)ãkɨ-pa (F00:649)	-(h)ãkɨ-pa 		F00:649	ahɨ́-pa-ti (P95:37)	ahɨ́-pa-ti 		P95:37
17	liver	*-hupana	hi-hopna (N86:46)	hi-hopna 		N86:46	-opana (F00:651)	-opana 		F00:651	upaná-ti (P95:46)	upaná-ti 		P95:46
18	blood	*-hɨra-ha	hi-hraha, hran-ʧi (N86:554)	hi-hraha /hran-ʧi 		N86:554	-(h)erẽka (F00:646)	-(h)erẽka 		F00:646	ɨráá-ti (P95:64)	ɨráá-ti 		P95:64
19	flesh	*-hɨtɨ	hi-hitɨ (N86:390)	hi-hitɨ 		N86:390	–				ɨʧi-tí (P95:34)	ɨʧi-tí 		P95:34
20	Veins	*-kutsa	hi-kotsa (N86:577)	hi-kotsa 		N86:577	-kotsa (Fr17:344)	-kotsa 		Fr17:344	uta-tí (P95:70)	uta-tí 		P95:70
21	buttocks	*-mutu	hi-moto, mot-ʧi (N86:507)	hi-moto / mot-ʧi 		N86:507	–				mutu-tí (P95:54)	mutu-tí 		P95:54
22	leg	*-tapari	hi-tpali ‘his thigh’ (N86:67)	hi-tpali 	his thigh	N86:67	–				ʧaparí-ti (P95:59)	ʧaparí-ti 		P95:59
23	thigh	*-puri	–				-pori-ke (Fr17:344)	-pori-ke 		Fr17:344	purí-na-ti (P95:54)	purí-na-ti 		P95:54
24	knee	*-sukɨ	hi-soçi (N86:549)	hi-soçi 		N86:549	–				uhɨ́-ʧa-ti (P95:63)	uhɨ́-ʧa-ti 		P95:63
25	shin	*-paru	hi-palo-çi (N86:446)	hi-palo-çi 		N86:446	–				parú-ti (P95:42)	parú-ti 		P95:42
26	foot	*-kiti	hi-çici (N86:526)	hi-çici 		N86:526	-kiti (F00:649)	-kiti 		F00:649	hiʧí-pa-ti (P95:59)	hiʧí-pa-ti 		P95:59
27	arm	*-kano	-kano (H10:283)	-kano 		H10:283	-kano (F00:156)	-kano 		F00:156	ano-he-tí (P95:75)	ano-he-tí 		P95:75
28	elbow	*-hitsu	hitso-he-re (N86:396)	hitso-he-re 		N86:396	–				hitu-ré-hɨ-ti (P95:36)	hitu-ré-hɨ-ti 		P95:36
29	hand	*-muju	hi-mjo, mjo-ʧi (N86:495)	hi-mjo / mjo-ʧi 		N86:495	-pio (Fr17:344)	-pio 		Fr17:344	mujú-ti (P95:52)	mujú-ti 		P95:52
30	neck	*-nu-	hi-no-çi, no-ʃ-ʧi (N86:408)	hi-no-çi / no-ʃ-ʧi		N86:408	-no-kɨ (F00:652) -no-pi (F00:652)	-no-kɨ / -no-pi 		F00:652	nu-pi-tí (P95:38)	nu-pi-tí 		P95:38
31	skin	*-mata	hi-mta (N86:526)	hi-mta 		N86:526	-mata (F00:654)	-mata 		F00:654	maʧá-ti (P95:93)	maʧá-ti 		P95:93
32	navel	*-puru	hi-plo (N86:513)	hi-plo 		N86:513	–				purú-hɨ-ti (P95:99)	purú-hɨ-ti 		P95:99
33	tail	*-si-pi	hi-nʃi, nʃi-ʧi (N86:56)	hi-nʃi / nʃi-ʧi 		N86:56	-ʃipi (F00:655)	-ʃipi 		F00:655	ipi-tí (P95:62)	ipi-tí 		P95:62
34	wing	*-mekɨ	hi-meçi (N86:359)	hi-meçi 		N86:359	-mekɨ (Fe13:90)	-mekɨ 		Fe13:90	mehɨ́-ʧa-pi-ti (P95:27)	mehɨ́-ʧa-pi-ti 		P95:27
35	egg	*-nakɨ	hi-naçi (N86:472)	hi-naçi 		N86:472	nakɨ (F00:648)	nakɨ 		F00:648	a-nahɨ-rɨ́ (P95:74)	a-nahɨ-rɨ́ 		P95:74
36	feces	*-tika	rɨ-ʧka (N86:449)	rɨ-ʧka 		N86:449	tika-ti (Fr17:345)	tika-ti 		Fr17:345	ri-ʧiʔá-ma (P95:39)	ri-ʧiʔá-ma 		P95:39
37	fart	*-ɨkɨnɨ	hiçnɨ-ʧi, r-ɨçnɨ (N86:521)	hiçnɨ-ʧi / r-ɨçnɨ 		N86:521	–				ɨhɨnɨ́-ti (P95:58)	ɨhɨnɨ́-ti 		P95:58
38	urine	*-tsɨnɨ-ha	-tsɨnha (N86:513)	-tsɨnha 		N86:513	-tsɨnãa (Fr17:344)	-tsɨnãa 		Fr17:344	tɨnɨ́-ti (P95:56)	tɨnɨ́-ti 		P95:56
39	fat	*-ihi	ç-hi-rɨ ‘greasy’ (N86:462) < *ka-ihi-rɨ	ç-hi-rɨ	greasy	N86:462	ĩĩ (BF07:126)	ĩĩ 		BF07:126	–			
40	name	*-hɨwaka	-hiwaka, hiwak-ʧi (N86:509)	-hiwaka / hiwak-ʧi 		N86:509	-(h)iwãka (F00:652)	-(h)iwãka 		F00:652	ɨwáʔa-ti (P95:55)	ɨwáʔa-ti 		P95:55
41	house	*-pana	pan-ʧi (N86:390)	pan-ʧi 		N86:390	–				pana-tí (P95:34)	pana-tí 		P95:34
42	village	*-puku	pok-ʧi (N86:536)	pok-ʧi 		N86:536	-awa-poko (F00:387)	-awa-poko 		F00:387	i-púʔú-ri (P95:61)	i-púʔú-ri 		P95:61
43	nest	*sijari	hi-ʃale (N86:508)	hi-ʃale 		N86:508	–				ijári-ti (P95:54)	ijári-ti 		P95:54
44	path	*hatɨnɨ	hatnɨ-hapo, r-atnɨ-hapo-te (N86:387)	hatnɨ-hapo / r-atnɨ-hapo-te 		N86:387	–				haʧiní (P95:33)	haʧiní 		P95:33
45	path2	*-hapO	hatnɨ-hapo (N86:387)	hatnɨ-hapo 		N86:387	-ãpo-rɨ (Fr17:217, 427)	-ãpo-rɨ 		Fr17:217, 427	–			
46	bow	*tapu	[hi]tpo (N86:368)	[hi]tpo 		N86:368	tapo (F00:646)	tapo 		F00:646	ʧapú-ri (P95:29)	ʧapú-ri 		P95:29
47	arrow	*kasiri	kaʃri (N86:454)	kaʃri 		N86:454	–				haári (P95:43) < *keiri	haári		P95:43
48	rope	*-tsa	hi-tsa (N86:559)	hi-tsa 		N86:559	-tsa (F00:175)	-tsa 		F00:175	i-tá (P95:83)	i-tá 		P95:83
49	canoe	*kanawa	kanawa (N86:388)	kanawa 		N86:388	kanawa (BF07:117)	kanawa 		BF07:117	anawá (P95:33)	anawá 		P95:33
50	raft	*pɨmarɨ	pɨmlɨ (N86:377)	pɨmlɨ 		N86:377	–				pɨmári (P95:30)	pɨmári 		P95:30
51	person	*kakɨtɨ	kaçitɨ (N86:92)	kaçitɨ 		N86:92	kãkɨtɨ (BF07:129)	kãkɨtɨ 		BF07:129	ahɨ́ʧi (P95:45)	ahɨ́ʧi 		P95:45
52	spirit/soul	*kama-ti	kamʧi (N86:95)	kamʧi 		N86:95	kamaʧi (BF07:125)	kamaʧi 		BF07:125	amáti (P95:74)	amáti 		P95:74
53	man	*kekɨ	çeçi (N86:470)	çeçi 		N86:470	kɨkɨ (F00:651)	kɨkɨ 		F00:651	ehɨ́ (P95:46), <hehï>	ehɨ́		P95:46
54	woman	*sɨtiO	sɨco (N86:506)	sɨco 		N86:506	sɨto (F00:657)	sɨto 		F00:657	–			
55	father	*-hɨrɨ	r-ɨrɨ, hir-ʧi (N86:515)	r-ɨrɨ / hir-ʧi 		N86:515	-ɨrɨ (F00:648)	-ɨrɨ 		F00:648	ɨrɨ́-ti (P95:56)	ɨrɨ́-ti 		P95:56
56	father2	*patɨ	patɨ (N86:164)	patɨ 		N86:164	patɨ (F15: 151)	patɨ 		F15: 151	–			
57	mother	*-ɨnɨru	r-ɨnro (N86:493)	r-ɨnro 		N86:493	-ɨnɨro (F00:651)	-ɨnɨro 		F00:651	ɨnɨrú-ti (P95:51)	ɨnɨrú-ti 		P95:51
58	mother2	*natu	nato(N86:158)	nato		N86:158	<natú> (N55:194)	natú		N55:194	natú (P95:96)	natú 		P95:96
59	son	*-tɨrɨ	hi-tɨrɨ (N86:468)	hi-tɨrɨ 		N86:468	–				tɨrɨ́-ti (P95:46)	tɨrɨ́-ti 		P95:46
60	daughter	*-situ	rɨ-ʃiʧo (N86:468)	rɨ-ʃiʧo 		N86:468	–				itú-ti (P95:46)	itú-ti 		P95:46
