Number	Concept	Proto-Purus	Yine-Value	Yine-Form	Yine-Concept	Yine-Source	Apurina-Value	Apurina-Form	Apurina-Concept	Apurina-Source	Inapari-Value	Inapari-Form	Inapari-Concept	Inapari-Source
61	grandson	*-mekani-rɨ	hi-mekahji (N86:509)	hi-mekahji 		N86:509	-mekaɲi-rɨ (Fe2013:90)	-mekaɲi-rɨ 		Fe2013:90	meʔani-rí-si-ti (P95:95)	meʔani-rí-si-ti 		P95:95
62	granddaughter	*-mekani-ro	to-mekahjo (N86:509)	to-mekahjo 		N86:509	-mekaɲi-ro (Fe2013:90)	-mekaɲi-ro 		Fe2013:90	meʔani-ró-hɨ-ti (P95:95)	meʔani-ró-hɨ-ti 		P95:95
63	father-in-law	*-himatukɨ-	himatçi-rɨ, himatçi-r-ʧi (N86:562)	himatçi-rɨ / himatçi-r-ʧi 		N86:562	-imatɨkɨ-rɨ (Fr17:179)	-imatɨkɨ-rɨ 		Fr17:179	imatuhɨtí-ri (P95:66)	imatuhɨtí-ri 		P95:66
64	mother-in-law	*-himakɨ-	himaçi-ro, himaçi-r-ʧi (N86:562)	himaçi-ro / himaçi-r-ʧi 		N86:562	–				imahɨ-tí-ro (P95:66)	imahɨ-tí-ro 		P95:66
65	nephew/niece	*-parikare-	palikle-rɨ (N86:559)	palikle-rɨ 		N86:559	–				pariʔare-ró-ti (P95:66)	pariʔare-ró-ti 		P95:66
65	nephew/niece	*-parikare-									pariʔare-rí-ti (P95:66)	pariʔare-rí-ti 		P95:66
66	younger brother	*-epɨ-rɨ	r-epɨrɨ (N86:468)	r-epɨrɨ 		N86:468	-epɨrɨ (F00:161)	-epɨrɨ 		F00:161	epɨrɨ́-hɨ-ti (P95:46)	epɨrɨ́-hɨ-ti 		P95:46
67	younger sister	*-epɨ-ro	r-epɨro (N86:468)	r-epɨro 		N86:468	–				epɨro-hɨ-ti (P95:46)	epɨro-hɨ-ti 		P95:46
68	grandmother	*-akɨro	r-açiro (N86:350)	r-açiro 		N86:350	-akɨro (Fr17:167)	-akɨro 		Fr17:167	ahɨró-ti (P95:25)	ahɨró-ti 		P95:25
69	grandfather	*-atukɨrɨ	r-atçirɨ (N86:350)	r-atçirɨ 		N86:350	-atokɨrɨ (Fr17:179)	-atokɨrɨ 		Fr17:179	atuhɨrɨ́-ti (P95:25)	atuhɨrɨ́-ti 		P95:25
70	pet	*-pɨra	pra-ʧi (N86:183)	pra-ʧi 		N86:183	-pɨra (Fr17:116)	-pɨra 		Fr17:116	–			
71	paca (rodent sp.)	*kajatɨ	kajatɨ (N86:111)	kajatɨ 		N86:111	kajatɨ (F00:652)	kajatɨ 		F00:652	ajáʧi (P95:77)	ajáʧi 		P95:77
72	capybara	*hipetɨ	hipetɨ (N86:550)	hipetɨ 		N86:550	–				hipeʧí (P95:33)	hipeʧí 		P95:33
73	rat	*kutsi	koʧi (N86:119)	koʧi 		N86:119	koʧi (F00:653)	koʧi 		F00:653	utí (P95:108)	utí 		P95:108
74	agouti	*pekiri	peçri (N86:165)	peçri 		N86:165	pekiri (BF07:124)	pekiri 		BF07:124	pehirí (P95:98)	pehirí 		P95:98
75	coati	*kapisiri	kapʃi (N86:395)	kapʃi 		N86:395	kapiʃi (F13:79)	kapiʃi 		F13:79	apíí (P95:36)	apíí 		P95:36
76	peccary (sp.)1	*meriti	mrici ‘sajino’ (N86:152)	mrici  	sajino	N86:152	meriti ‘peccary’ (F00:108)	meriti	peccary	F00:108	meríʧi ‘sajino’ (P95:95)	meríʧi	sajino	P95:95
77	peccary (sp.)2	*hirarɨ	hijalɨ ‘jabalí’ (N86:71)	hijalɨ	jabalí	N86:71	irarɨ ‘large wild pig’ (F00:650)	irarɨ 	large wild pig	F00:650	hirári ‘jabalí’ (P95:90)	hirári 	jabalí	P95:90
78	anteater	*sɨwa	sɨwa (N86:285)	sɨwa 		N86:285	–				hɨwá (P95:92)	hɨwá 		P95:92
79	tapir	*kema	çema (N86:78)	çema 		N86:78	kema (BF07:130)	kema 		BF07:130	hamá (P95:88)	hamá 		P95:88
80	Capuchin monkey	*tsikutɨ	ʧkotɨ (N86:29) ‘mono machín’	ʧkotɨ 	 mono machín	N86:29) ‘mono machín’	ʧikotɨ (BF07:115) ‘Cebus apella’	ʧikotɨ 	Cebus apella	BF07:115) ‘Cebus apella’	tiʔuʧí (P95:53) ‘mono machín’	tiʔuʧí 	mono machín	P95:53) ‘mono machín’
81	howler monkey>	*kaina	kina (N86:116) ‘mono coto’	kina 	mono coto	N86:116) ‘mono coto’	kiɲa (BF:116) ‘Alouatta seniculus’	kiɲa 	Alouatta seniculus	BF:116) ‘Alouatta seniculus’	aína (P95:53) ‘mono coto’	aína	mono coto	P95:53) ‘mono coto’
82	sloth	*makara	–				makara (BF07:118)	makara 		BF07:118	maʔára (P95:58)	maʔára 		P95:58
83	snake	*hɨmenɨ	himnɨ (N86:409)	himnɨ 		N86:409	ɨmɨnɨ (BF07:116)	ɨmɨnɨ 		BF07:116	himení (P95:38)	himení 		P95:38
84	boa	*mapitsiri	mapʧiri (N86:380)	mapʧiri 		N86:380	–				mapitíri (P95:31)	mapitíri 		P95:31
85	alligator	*kajukɨrɨ	kʃijoçrɨ (N86:485)	kʃijoçrɨ 		N86:485	kajukɨrɨ (F00:644)	kajukɨrɨ 		F00:644	ajúhɨrɨ (P95:49)	ajúhɨrɨ 		P95:49
86	turtle	*sɨpɨrɨ	sɨprɨ (N86:282)	sɨprɨ 		N86:282	sɨ̃pɨrɨ (BF07:130)	sɨ̃pɨrɨ 		BF07:130	hipɨ́rɨ (P95:90)	hipɨ́rɨ 		P95:90
87	ant	*katsitɨ	kaʧiʧi (N86:88)	kaʧiʧi 		N86:88	kaʧitɨ (BF07:117)	kaʧitɨ 		BF07:117	atíʧi (P95:76)	atíʧi 		P95:76
88	isula (ant sp.)	*manahi	manahi (N86:143)	manahi 		N86:143	maɲii (BF07:118)	maɲii 		BF07:118	maneĩ́ (P95:94)	maneĩ́ 		P95:94
89	termite	*kamara	kamla (N86:96)	kamla 		N86:96	kamara (BF07:118)	kamara 		BF07:118	amará-hɨ (P95:74)	amará-hɨ 		P95:74
90	wasp	*sanɨ	sanɨ (N86:273)	sanɨ 		N86:273	sanɨ (F00:657)	sanɨ 		F00:657	haní (P95:88)	haní 		P95:88
91	mosquito	*haniju	hahjo (N86:32)	hahjo 		N86:32	aɲiio (Fr17:349)	aɲiio 		Fr17:349	hanijú (P95:88)	hanijú 		P95:88
92	bee/honey	*mapa	–				mapa (BF07:124)	mapa 		BF07:124	mapaá (P95:44)	mapaá 		P95:44
93	fly	*kerɨ	çerɨ (N86:563)	çerɨ 		N86:563	–				herí-si (P95:67)	herí-si 		P95:67
94	butterfly	*katatu	katato(N86:107)	katato		N86:107	katatɨ (BF07:117)	katatɨ 		BF07:117	aʧatú (P95:52)	aʧatú 		P95:52
95	cockroach	*tsopata	–				tsopata (F00:647)	tsopata 		F00:647	topaʧa (P95:38)	topaʧa 		P95:38
96	spider	*pɨtahana	pɨthana(N86:368)	pɨthana		N86:368	–				pɨʧaána (P95:28)	pɨʧaána 		P95:28
97	scorpion	*hekuru	heklo (N86:359)	heklo 		N86:359	–				heʔurú (P95:27)	heʔurú 		P95:27
98	tick	*kuparɨ	koplɨ (N86:125)	koplɨ 		N86:125	–				upári (P95:107)	upári 		P95:107
99	louse	*-kepa	hi-çepa (N86:527)	hi-çepa 		N86:527	–				hapá-ti (P95:59)	hapá-ti 		P95:59
100	worm1	*tsomi	tsomi (N86:306)	tsomi 		N86:306	tsomi (BF07:117)	tsomi 		BF07:117	tomí (P95:106)	tomí 		P95:106
101	worm2	*kenɨ	çnɨ-ʧi (N86:87)	çnɨ-ʧi 		N86:87	kẽʧi (BF07:131)	kẽʧi 		BF07:131	uri-héni (P95:45)	uri-héni 		P95:45
101	worm2										ti-héni (P95:45)	ti-héni 		P95:45
102	fish (generic)	*sima	ʃima (N86:288)	ʃima 		N86:288	ʃima-kɨ (F00:648)	ʃima-kɨ 		F00:648	himá (P95:90)	himá 		P95:90
103	piraña (fish sp.)	*huma	homa (N86:74)	homa 		N86:74	(h)oma (BF:116)	oma 		h)oma (BF:116	humá (P95:92)	humá 		P95:92
104	crab	*jutúro	jotlo (N86:341)	jotlo 		N86:341	-	-		-	jutúro (P95:110)	jutúro 		P95:110
105	bat	*siju	ʃjo (N86:507)	ʃjo 		N86:507	ʃijo-kɨ (BF07:115)	ʃijo-kɨ 		BF07:115	hijú-hɨ (P95:54)	hijú-hɨ 		P95:54
106	bird (sp.)1	*majurɨ	majlɨ ‘gallinazo’ (N86:146)	majlɨ	gallinazo	N86:146	majorɨ (BF07:116)	majorɨ 		BF07:116	majúri ‘buitre blanco’ (P95:94)	majúri 	buitre blanco	P95:94
107	bird (sp.)2	*hireka	hijeka ‘paujil’ (P95:71)	hijeka	paujil	P95:71	irẽka ‘mutum’(F00:168)	irẽka	 mutum	F00:168	hiréʔa ‘paujil’ (P95:91)	hiréʔa	paujil	P95:91
108	bird (sp.)3	*hititi	hicici (N86:70)	hicici 		N86:70	–				hiʧiʧí (P95:69)	hiʧiʧí 		P95:69
109	hummingbird	*siwejúrɨ	ʃwejlɨ (N86:525)	ʃwejlɨ 		N86:525	–				hiwejúri (P95:59)	hiwejúri 		P95:59
110	duck	*hupai	hopʃi (N86:520)	hopʃi 		N86:520	opai (F00:622)	opai 		F00:622	hupaí (P95:57)	hupaí 		P95:57
111	eagle	*kukui	-	-		-	kokoi (F00:649)	kokoi 		F00:649	uʔuí (P95:26)	uʔuí 		P95:26
112	owl	*musa	mosa (N86:150)	mosa 		N86:150	musa (BF07:116)	musa 		BF07:116	muã́ (P95:95)	muã́ 		P95:95
113	tree	*haha-mɨna	hahmɨna (N86:368)	hahmɨna 		N86:368	ãamɨna (F00: 656)	ãamɨna 		F00: 656	haámɨna (P95:28)	haámɨna 		P95:28
114	palm (sp.)	*kuna	kona (N86:124)	kona 		N86:124	kona-kɨ (BF07:117)	kona-kɨ 		BF07:117	úna (P95:107)	úna 		P95:107
115	cane	*katsarɨ	katslɨ (N86:388)	katslɨ 		N86:388	–				atarí (P95:33)	atarí 		P95:33
116	branch	*-purɨ	hi-plɨ (N86:56)	hi-plɨ 		N86:56	-porɨ (F00:646)	-porɨ 		F00:646	purí (P95:99)	purí 		P95:99
117	wood, stick	*-ke	hi-çe (N86:516)	hi-çe 		N86:516	-ke (F00:175)	-ke 		F00:175	ano-he-tí ‘antebrazo’ (P95:75)	ano-he-tí	antebrazo	P95:75
118	seed	*-kɨ	hi-çi (N86:555)	hi-çi 		N86:555	-kɨ (F00:171)	-kɨ 		F00:171	-raná-hɨ (P95:58)	-raná-hɨ 		P95:58
119	shell/husk	*-pata	hi-pata (N86:391)	hi-pata 		N86:391	–				(hisí) páʧa ‘cáscara de maíz’ (P95:35)	 páʧa	cáscara de maíz	hisí) páʧa ‘cáscara de maíz’ (P95:35
120	flower	*-hɨwɨ	hi-hwɨ (N86:455)	hi-hwɨ 		N86:455	ɨ̃ɨ̃wɨ, (h)ɨ̃wɨ (BF07:126)	ɨ̃ɨ̃wɨ / ɨ̃wɨ 		h)ɨ̃wɨ (BF07:126	aáwɨ́rɨ (P95:43)	aáwɨ́rɨ 		P95:43
120	flower	*ka-hɨwɨ-rɨ	kahwɨrɨ (N86:455)	kahwɨrɨ 		N86:455								
121	Leaf	*ka-sɨre-rɨ	hi-sɨre, ka-sɨre-rɨ (N86:469)	hi-sɨre / ka-sɨre-rɨ 		N86:469	–				aɨreri (P95:46)	aɨreri 		P95:46
122	Coca	*katsuparɨ	–				katsuparɨ (BF07:117)	katsuparɨ 		BF07:117	atuparí (P95:77)	atuparí 		P95:77
123	sweet potato	*kɨparɨ	çipalɨ (N86:387)	çipalɨ 		N86:387	kɨparɨ (Fe13:86)	kɨparɨ 		Fe13:86	hɨpári (P95:92)	hɨpári 		P95:92
124	bitter manioc	*kanɨrɨ	kanrɨ (N86:581)	kanrɨ 		N86:581	–				anɨrɨ́ (P95:75)	anɨrɨ́ 		P95:75
125	manioc	*kimeka	çimeka (N86:81)	çimeka 		N86:81	–				himeʔá (P95:90)	himeʔá 		P95:90
126	maize	*si-kɨ	ʃiçi (N86:493)	ʃiçi 		N86:493	–				hisí (P95:51)	hisí 		P95:51
127	smoked (meat)	*hurutɨ	holotɨ (N86:358)	holotɨ 		N86:358	–				hurúʧi (P95:27)	hurúʧi 		P95:27
128	pepper	*kumarɨ	komlɨ (N86:359)	komlɨ 		N86:359	–				umarí (P95:27)	umarí 		P95:27
129	achiote	*hapɨkɨrɨ	hapiçrɨ (N86:353)	hapiçrɨ 		N86:353	ãpɨkɨrɨ (Fe13:66)	ãpɨkɨrɨ 		Fe13:66	hapísíri (P95:25)	hapísíri 		P95:25
130	medicine	*pini	pin-re (N86:499)	pin-re 		N86:499	piɲi (BF07:125)	piɲi 		BF07:125	pini-tí-ri (P95:52)	pini-tí-ri 		P95:52
131	sun	*atukatsi	tkaʧi (N86:559)	tkaʧi 		N86:559	atokaʧi (F00:655)	atokaʧi 		F00:655	tuʔatí (P95:66)	tuʔatí 		P95:66
132	moon	*kasɨrɨ	ksɨrɨ (N86:490)	ksɨrɨ 		N86:490	kasɨrɨ (F00:651)	kasɨrɨ 		F00:651	aɨrɨ́ (P95:51)	aɨrɨ́ 		P95:51
133	night	*jatsi	jeʧ-no (N86:509)	jeʧ-no 		N86:509	–				játi (P95:55)	játi 		P95:55
134	yesterday	*kapeta	kapet-hohne (N86:100)	kapet-hohne 		N86:100	–				apeʧá (P95:30)	apeʧá 		P95:30
135	wind	*hitima	–				i~tima (Fr17:204)	i~tima 		Fr17:204	hiʧíma (P95:90)	hiʧíma 		P95:90
136	rainbow	*kɨsi	kʃi (N86:136)	kʃi 		N86:136	kɨsi (Fr17:204)	kɨsi 		Fr17:204	–			
137	lake	*hɨpu-ha	hipowha (N86:57)	hipowha 		N86:57	ɨpowã (Fe13:118)	ɨpowã 		Fe13:118	hipuã (P95:90)	hipuã 		P95:90
138	water	*hunɨ	honɨ (N86:357)	honɨ 		N86:357	–				huní (P95:26)	huní 		P95:26
139	rain	*hina	hina (N86:53)	hina 		N86:53	–				hiná (P95:90)	hiná 		P95:90
140	fire/firewood	*tsitsi	ʧiʧi (N86:25)	ʧiʧi 		N86:25	–				tití (P95:44)	tití 		P95:44
141	fire/firewood2	*pawa	no-pawa, paw-ʧi (N86:164)	no-pawa / paw-ʧi 		N86:164	–				páwa ‘brasa’ (P95:32)	páwa	brasa	P95:32
142	hole	*-pɨna	hi-pna (N86:56)	hi-pna 		N86:56	–				a-pɨna-rí (P95:47)	a-pɨna-rí 		P95:47
143	stone	*sutarɨ	sotlɨ (N86:526)	sotlɨ 		N86:526	–				huʧárí-sí (P95:59)	huʧárí-sí 		P95:59
144	pain	*katsinu-	kaʧino-lɨ (N86:430)	kaʧino-lɨ 		N86:430	–				atinu-rí (P95:40)	atinu-rí 		P95:40
145	to be/have	*-awa	r-awa (N86:465)	r-awa 		N86:465	-awa (F00:292-294)	-awa 		F00:292-294	r-awa-ma (P95:45)	r-awa-ma 		P95:45
146	to arrive	*-apuka	hapok-lɨ, r-apoka (N86:491)	hapok-lɨ / r-apoka 		N86:491	-apoka (F00:81)	-apoka 		F00:81	r-apúʔa-ma	r-apúʔa-ma		r-apúʔa-ma
147	to come	*-ɨna	r-ɨna (N86:577)	r-ɨna 		N86:577	-ɨna (F00:647)	-ɨna 		F00:647	r-ɨna-ma	r-ɨna-ma		r-ɨna-ma
148	to return	*-satuka	satok-lɨ (N86:544)	satok-lɨ 		N86:544	–				i-atuʔa-pa-má (P95:63)	i-atuʔa-pa-má 		P95:63
149	to walk	*-jana	jan-rɨ, jana (N86:387)	jan-rɨ / jana 		N86:387	-jana (F00:308)	-jana 		F00:308	i-janá-ma (P95:33)	i-janá-ma 		P95:33
150	to pass	*-kunuha	rɨ-knoha (N86:519)	rɨ-knoha 		N86:519	–				rɨ-ʔunṹa-ma (P95:57)	rɨ-ʔunṹa-ma 		P95:57
151	to step	*-akapa-	h-akap-ʃo-lɨ (N86:527)	h-akap-ʃo-lɨ 		N86:527	–				r-aʔapa-á-ma (P95:59)	r-aʔapa-á-ma 		P95:59
152	to grow	*-tserɨ-ta	i-tserɨ-wa-ta (N86:406)	i-tserɨ-wa-ta 		N86:406	–				i-terí-ʧa-ma (P95:38)	i-terí-ʧa-ma 		P95:38
